"Average",,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - engr.","eyy [1] - engr.","exy [1] - engr.","e1 [1] - engr.","e2 [1] - engr.","gamma [1] - engr.","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0.00288925,-0.00389911,-2.06489e-06,0,0,0,0,0,-2.69646e-18,3.15589e-18,-3.15589e-18,-0.266194,0,0,10.006,10.006
1,0.00288925,-0.00389911,-2.06489e-06,-0.0027391,-0.00034184,0.00125464,1.9441e-05,-2.26222e-05,-1.85943e-05,6.68136e-05,-6.99949e-05,0.0626131,-1.66306e-05,-0.000166406,10.0059,10.006
2,0.00288925,-0.00389911,-2.06489e-06,-0.00164053,0.00231931,0.00755643,6.57166e-06,-2.77207e-05,-1.3497e-06,6.60009e-05,-8.71499e-05,-0.0535671,-2.23534e-05,-0.000223669,10.0058,10.006
3,0.00288925,-0.00389911,-2.06489e-06,-0.00645964,-0.000369229,-0.000668623,2.31042e-05,2.44412e-06,-5.52394e-05,8.95962e-05,-6.40479e-05,-0.310138,2.74626e-06,2.74792e-05,10.0061,10.006
4,0.00288925,-0.00389911,-2.06489e-06,0.000276789,0.00167538,-0.00279897,-2.77108e-06,-3.50977e-06,-8.64522e-06,8.30821e-05,-8.9363e-05,-0.330619,1.10265e-05,0.000110332,10.0062,10.006
5,0.00288925,-0.00389911,-2.06489e-06,-0.00754593,-0.0143205,-0.00781086,1.98506e-06,-8.9274e-06,-1.46383e-05,8.22448e-05,-8.91872e-05,-0.00718228,1.18578e-05,0.00011865,10.0062,10.006
6,0.00288925,-0.00389911,-2.06489e-06,0.0528677,-0.013511,-0.0148346,1.03114e-05,-2.45294e-05,-2.35875e-05,8.33938e-05,-9.76117e-05,-0.101871,2.27107e-05,0.000227244,10.0063,10.006
7,0.00288925,-0.00389911,-2.06489e-06,-0.0137486,-0.0120322,-0.022099,6.2477e-06,2.84072e-05,-5.62037e-05,9.36476e-05,-5.89926e-05,-0.241618,3.74262e-05,0.000374489,10.0064,10.006
8,0.00288925,-0.00389911,-2.06489e-06,0.0238261,0.00614522,0.0287994,1.01448e-05,2.53246e-05,1.42449e-05,9.05901e-05,-5.51207e-05,0.115789,1.66591e-05,0.000166692,10.0062,10.006
9,0.00288925,-0.00389911,-2.06489e-06,-0.0432257,0.0112153,0.0509455,1.12795e-05,3.3397e-05,-1.21963e-06,0.000106227,-6.15503e-05,-0.122734,-6.46779e-06,-6.4717e-05,10.006,10.006
