Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
0,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000000_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000000_1.tif,27.968849,27.969166,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
1,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000001_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000001_1.tif,28.468883,28.469232,-0.002146,-10.383721,-10.430638,-10.389762,0.007493,0.000000,0.000000,0.000000
2,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000002_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000002_1.tif,28.968864,28.969223,-0.001827,-10.383721,-10.430638,-10.389762,0.008430,0.000000,0.000000,0.000000
3,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000003_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000003_1.tif,29.468869,29.469248,-0.002783,-10.383721,-10.430638,-10.389762,0.005620,0.000000,0.000000,0.000000
4,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000004_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000004_1.tif,29.968903,29.969254,-0.002783,-10.383721,-10.430638,-10.389762,0.005620,0.000000,0.000000,0.000000
5,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000005_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000005_1.tif,30.468813,30.469126,-0.001827,-10.383721,-10.430638,-10.389762,0.008430,0.000000,0.000000,0.000000
6,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000006_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000006_1.tif,30.968916,30.969254,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
7,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000007_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000007_1.tif,31.468863,31.469425,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
8,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000008_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000008_1.tif,31.968832,31.969175,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
9,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000009_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000009_1.tif,32.468856,32.469255,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
10,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000010_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000010_1.tif,32.968861,32.969241,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
11,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000011_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000011_1.tif,33.468855,33.469214,-0.002146,-10.383721,-10.430638,-10.389762,0.007493,0.000000,0.000000,0.000000
12,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000012_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000012_1.tif,33.968913,33.969271,0.000086,-10.383721,-10.430638,-10.389762,0.014050,0.000000,0.000000,0.000000
13,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000013_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_1\VF1_2_1-00000013_1.tif,34.468922,34.469335,-0.002783,-10.383721,-10.430638,-10.389762,0.005620,0.000000,0.000000,0.000000
