Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
22,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000022_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000022_1.tif,33.567464,33.567991,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
23,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000023_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000023_1.tif,34.067484,34.067815,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
24,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000024_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000024_1.tif,34.567386,34.567977,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
25,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000025_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000025_1.tif,35.067384,35.067759,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
26,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000026_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000026_1.tif,35.567499,35.567828,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
27,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000027_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000027_1.tif,36.067396,36.067783,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
28,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000028_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000028_1.tif,36.567577,36.567886,0.000086,-10.383721,-10.430638,-10.389762,0.014050,0.000000,0.000000,0.000000
29,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000029_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000029_1.tif,37.067433,37.067939,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
30,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000030_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000030_1.tif,37.567469,37.568217,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
31,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000031_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000031_1.tif,38.067526,38.067931,0.000086,-10.383721,-10.430638,-10.389762,0.014050,0.000000,0.000000,0.000000
32,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000032_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000032_1.tif,38.567480,38.567837,0.000405,-10.383721,-10.430638,-10.389762,0.014986,0.000000,0.000000,0.000000
33,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000033_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000033_1.tif,39.067392,39.067881,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
34,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000034_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000034_1.tif,39.567445,39.567700,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
35,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000035_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000035_1.tif,40.067465,40.067838,0.000405,-10.383721,-10.430638,-10.389762,0.014986,0.000000,0.000000,0.000000
36,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000036_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000036_1.tif,40.567411,40.567984,0.000086,-10.383721,-10.430638,-10.389762,0.014050,0.000000,0.000000,0.000000
37,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000037_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000037_1.tif,41.067388,41.067787,0.000086,-10.383721,-10.430638,-10.389762,0.014050,0.000000,0.000000,0.000000
38,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000038_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000038_1.tif,41.567476,41.567857,0.000405,-10.383721,-10.430638,-10.389762,0.014986,0.000000,0.000000,0.000000
39,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000039_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000039_1.tif,42.067399,42.067771,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
40,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000040_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000040_1.tif,42.567421,42.567805,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
41,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000041_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000041_1.tif,43.067319,43.067930,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
42,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000042_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000042_1.tif,43.567368,43.567779,0.001999,-10.383721,-10.430638,-10.389762,0.019670,0.000000,0.000000,0.000000
43,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000043_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000043_1.tif,44.067412,44.067841,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
44,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000044_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000044_1.tif,44.567517,44.567855,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
45,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000045_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000045_1.tif,45.067357,45.068043,0.001680,-10.383721,-10.430638,-10.389762,0.018733,0.000000,0.000000,0.000000
46,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000046_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000046_1.tif,45.567529,45.567855,0.000405,-10.383721,-10.430638,-10.389762,0.014986,0.000000,0.000000,0.000000
47,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000047_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000047_1.tif,46.067394,46.068016,0.000086,-10.383721,-10.430638,-10.389762,0.014050,0.000000,0.000000,0.000000
48,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000048_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000048_1.tif,46.567411,46.568017,0.001680,-10.383721,-10.430638,-10.389762,0.018733,0.000000,0.000000,0.000000
49,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000049_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000049_1.tif,47.067436,47.067835,0.002955,-10.383721,-10.430638,-10.389762,0.022480,0.000000,0.000000,0.000000
50,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000050_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000050_1.tif,47.567413,47.567827,0.005187,-10.383721,-10.430638,-10.389762,0.029036,0.000000,0.000000,0.000000
51,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000051_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL15\FL15-00000051_1.tif,48.067470,48.068059,0.013795,-10.383721,-10.430638,-10.389762,0.054326,0.000000,0.000000,0.000000
