Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
0,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000000_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000000_1.tif,57.730290,57.730599,-0.002464,-10.383721,-10.430638,-10.389762,0.006557,0.000000,0.000000,0.000000
1,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000001_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000001_1.tif,58.224757,58.225085,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
2,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000002_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000002_1.tif,58.724753,58.725140,-0.003421,-10.383721,-10.430638,-10.389762,0.003747,0.000000,0.000000,0.000000
3,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000003_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000003_1.tif,59.224758,59.225080,-0.002464,-10.383721,-10.430638,-10.389762,0.006557,0.000000,0.000000,0.000000
4,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000004_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000004_1.tif,59.724738,59.725068,-0.002464,-10.383721,-10.430638,-10.389762,0.006557,0.000000,0.000000,0.000000
5,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000005_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000005_1.tif,60.224734,60.225066,-0.002464,-10.383721,-10.430638,-10.389762,0.006557,0.000000,0.000000,0.000000
6,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000006_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000006_1.tif,60.724771,60.725175,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
7,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000007_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000007_1.tif,61.224756,61.225030,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
8,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000008_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000008_1.tif,61.724708,61.725065,-0.002146,-10.383721,-10.430638,-10.389762,0.007493,0.000000,0.000000,0.000000
9,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000009_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000009_1.tif,62.224758,62.225077,-0.002146,-10.383721,-10.430638,-10.389762,0.007493,0.000000,0.000000,0.000000
10,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000010_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000010_1.tif,62.724751,62.725093,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
11,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000011_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000011_1.tif,63.224847,63.225161,0.000724,-10.383721,-10.430638,-10.389762,0.015923,0.000000,0.000000,0.000000
12,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000012_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000012_1.tif,63.724708,63.725128,-0.002783,-10.383721,-10.430638,-10.389762,0.005620,0.000000,0.000000,0.000000
13,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000013_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000013_1.tif,64.224755,64.225130,-0.001827,-10.383721,-10.430638,-10.389762,0.008430,0.000000,0.000000,0.000000
14,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000014_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000014_1.tif,64.724797,64.725019,-0.002146,-10.383721,-10.430638,-10.389762,0.007493,0.000000,0.000000,0.000000
15,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000015_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000015_1.tif,65.224709,65.225119,-0.002464,-10.383721,-10.430638,-10.389762,0.006557,0.000000,0.000000,0.000000
16,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000016_0.tif,C:/Users/VicUser/Documents/RobC/20260801/FL31\FL31-00000016_1.tif,65.724855,65.725139,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
