Average,,,,,,,,,,,,,E0,,,
Index [1],X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - engr.,eyy [1] - engr.,exy [1] - engr.,e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,ΔL/L0 [1],ΔL [mm],L1 [mm],L0 [mm]
28,1.74E-09,1.97E-09,2.19E-12,-0.0042605,0.114131,0.000267728,-6.98E-06,-1.58E-05,-7.33E-05,8.18E-05,-0.000104574,-0.411615,-1.53E-06,-1.53E-05,9.98978,9.98979
29,1.74E-09,1.97E-09,2.19E-12,-0.00438267,0.124162,-0.000436773,-7.81E-05,-5.07E-05,-3.42E-05,1.84E-05,-0.000147208,-0.220917,-4.58E-06,-4.57E-05,9.98975,9.98979
30,1.74E-09,1.97E-09,2.19E-12,-0.00454007,0.124944,0.00943784,-3.06E-05,-4.26E-05,2.04E-06,4.27E-05,-0.000115839,0.0320368,-1.51E-05,-0.000150382,9.98964,9.98979
31,1.74E-09,1.97E-09,2.19E-12,-0.00523302,0.132134,0.0124986,-7.27E-05,-1.29E-05,-3.04E-05,6.00E-05,-0.000145583,-0.156772,9.64E-06,9.63E-05,9.98989,9.98979
32,1.74E-09,1.97E-09,2.19E-12,-0.00740735,0.137022,0.010918,-4.38E-05,-2.89E-05,-4.58E-05,5.33E-05,-0.000126084,-0.179503,-9.56E-06,-9.55E-05,9.9897,9.98979
33,1.74E-09,1.97E-09,2.19E-12,-0.00528987,0.140959,0.0096758,-4.64E-05,-3.06E-05,-4.13E-05,4.80E-05,-0.000124972,-0.250612,-5.80E-06,-5.79E-05,9.98974,9.98979
34,1.74E-09,1.97E-09,2.19E-12,-0.00274972,0.148816,0.0142521,-1.41E-05,-3.74E-05,-4.09E-05,6.75E-05,-0.000119112,-0.094957,-5.99E-05,-0.000598757,9.98919,9.98979
35,1.74E-09,1.97E-09,2.19E-12,-0.00254045,0.161401,0.0132931,-2.98E-05,-2.59E-05,3.21E-05,7.11E-05,-0.00012679,0.330307,6.31E-05,0.000629973,9.99042,9.98979
36,1.74E-09,1.97E-09,2.19E-12,-0.00522488,0.159236,0.011698,-8.06E-06,-1.01E-05,1.88E-05,7.20E-05,-9.02E-05,-0.0641982,-8.98E-06,-8.97E-05,9.9897,9.98979
37,1.74E-09,1.97E-09,2.19E-12,-0.00538528,0.169866,0.0133619,-2.44E-07,-2.80E-05,-3.05E-05,5.93E-05,-8.75E-05,-0.14661,2.35E-05,0.000235142,9.99003,9.98979
38,1.74E-09,1.97E-09,2.19E-12,-0.00443047,0.171051,0.00975231,-7.60E-05,-7.43E-05,-5.80E-05,3.67E-05,-0.000187037,-0.375086,-4.99E-05,-0.0004981,9.9893,9.98979
39,1.74E-09,1.97E-09,2.19E-12,-0.00330294,0.181027,0.00753101,-7.30E-05,-1.51E-05,-1.59E-05,4.92E-05,-0.000137347,-0.0870572,-5.45E-08,-5.45E-07,9.98979,9.98979
40,1.74E-09,1.97E-09,2.19E-12,-0.00334395,0.185185,0.00801073,-9.82E-06,-6.12E-06,6.08E-07,8.20E-05,-9.80E-05,0.00107922,-1.36E-05,-0.000135508,9.98966,9.98979
41,1.74E-09,1.97E-09,2.19E-12,-0.00220116,0.193864,0.00523766,-5.79E-05,-1.32E-05,4.32E-05,6.13E-05,-0.000132346,0.165277,2.46E-05,0.000246192,9.99004,9.98979
42,1.74E-09,1.97E-09,2.19E-12,-0.00128283,0.195569,0.00295463,-5.47E-05,-6.67E-05,-3.85E-05,4.58E-05,-0.000167153,-0.175959,-5.49E-05,-0.000548417,9.98924,9.98979
43,1.74E-09,1.97E-09,2.19E-12,-0.00314743,0.205154,0.00405382,-3.45E-05,-1.69E-05,-2.90E-05,8.60E-05,-0.000137403,0.0345893,-9.24E-06,-9.23E-05,9.9897,9.98979
44,1.74E-09,1.97E-09,2.19E-12,-0.00492375,0.209929,0.0014571,-2.88E-05,-4.24E-05,-3.03E-05,6.12E-05,-0.000132438,-0.0718274,-2.96E-05,-0.000295398,9.9895,9.98979
45,1.74E-09,1.97E-09,2.19E-12,-0.00242984,0.215499,-0.00102436,-4.06E-05,-1.46E-05,-5.65E-05,6.87E-05,-0.000123876,-0.222528,-1.10E-05,-0.000109614,9.98968,9.98979
46,1.74E-09,1.97E-09,2.19E-12,-0.0099048,0.222211,0.000874388,-4.39E-05,-6.53E-05,-2.89E-05,2.52E-05,-0.000134374,-0.135367,-4.67E-05,-0.000467012,9.98933,9.98979
47,1.74E-09,1.97E-09,2.19E-12,-0.0175381,0.227077,-0.00208184,-1.77E-05,-5.36E-05,4.21E-06,5.57E-05,-0.000126992,-0.0650694,3.68E-07,3.68E-06,9.9898,9.98979
48,1.74E-09,1.97E-09,2.19E-12,-0.0475482,0.232519,-0.0119063,-3.79E-05,-3.15E-05,7.52E-07,4.22E-05,-0.000111549,-0.185299,2.80E-05,0.000279581,9.99007,9.98979
49,1.74E-09,1.97E-09,2.19E-12,-0.0878907,0.235585,-0.0342686,-6.18E-05,-2.18E-05,-4.35E-05,5.60E-05,-0.000139712,-0.211127,3.18E-05,0.000318121,9.99011,9.98979
50,1.74E-09,1.97E-09,2.19E-12,-0.135543,0.242657,-0.0551185,-4.24E-05,-4.07E-05,-8.12E-05,5.39E-05,-0.000136951,-0.271161,-3.44E-05,-0.000344014,9.98945,9.98979
51,1.74E-09,1.97E-09,2.19E-12,-0.145569,0.242896,-0.0930397,-7.64E-05,-5.19E-05,-9.98E-05,3.65E-05,-0.000164801,-0.580242,-3.60E-06,-3.59E-05,9.98976,9.98979
52,1.74E-09,1.97E-09,2.19E-12,-0.145513,0.244506,-0.211215,-5.95E-05,-7.50E-05,-8.80E-05,4.72E-05,-0.000181629,-0.546135,9.19E-06,9.18E-05,9.98989,9.98979
53,1.74E-09,1.97E-09,2.19E-12,-0.14395,0.24826,-0.298294,-2.38E-06,-9.98E-05,-5.19E-05,7.93E-05,-0.000181505,-0.281077,-1.32E-05,-0.000131511,9.98966,9.98979
54,1.74E-09,1.97E-09,2.19E-12,-0.143076,0.247781,-0.368159,-2.46E-05,-7.67E-05,-1.59E-05,6.49E-05,-0.000166195,-0.231119,2.99E-05,0.000298603,9.99009,9.98979
55,1.74E-09,1.97E-09,2.19E-12,-0.14158,0.249274,-0.411206,-1.44E-05,-7.47E-05,-1.23E-05,8.22E-05,-0.000171353,-0.220512,4.48E-05,0.000447767,9.99024,9.98979
56,1.74E-09,1.97E-09,2.19E-12,-0.144082,0.252875,-0.445077,-2.72E-05,-4.91E-05,-2.80E-05,8.94E-05,-0.000165631,-0.470459,0.000103585,0.0010348,9.99083,9.98979
57,1.74E-09,1.97E-09,2.19E-12,-0.143147,0.253982,-0.468611,-4.23E-05,-2.85E-05,-5.10E-05,9.48E-05,-0.000165581,-0.523861,9.37E-05,0.000935946,9.99073,9.98979
58,1.74E-09,1.97E-09,2.19E-12,-0.146323,0.255457,-0.485178,-3.73E-05,1.21E-05,-6.01E-05,0.000129113,-0.000154232,-0.490794,0.000107219,0.0010711,9.99086,9.98979
59,1.74E-09,1.97E-09,2.19E-12,-0.145849,0.255608,-0.50181,-7.31E-05,3.19E-05,-6.19E-05,0.00011873,-0.000159912,-0.883255,0.000161582,0.00161417,9.99141,9.98979
60,1.74E-09,1.97E-09,2.19E-12,-0.151494,0.258112,-0.511795,-5.88E-05,8.33E-05,-1.00E-04,0.000160892,-0.000136415,-0.753858,0.000172447,0.00172271,9.99152,9.98979
61,1.74E-09,1.97E-09,2.19E-12,-0.150977,0.258181,-0.519555,-7.08E-05,9.66E-05,-0.000109421,0.000172667,-0.000146909,-0.779123,0.000194586,0.00194387,9.99174,9.98979
62,1.74E-09,1.97E-09,2.19E-12,-0.151429,0.257554,-0.524017,-5.25E-05,0.000118014,-0.000100588,0.000189534,-0.000124007,-0.796991,0.000203006,0.00202799,9.99182,9.98979
63,1.74E-09,1.97E-09,2.19E-12,-0.155079,0.258244,-0.52377,-5.79E-05,0.000131624,-0.000102074,0.000191859,-0.000118155,-0.859741,0.000213742,0.00213524,9.99193,9.98979
