Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1,cDAQ1Mod1/ai0,cDAQ1Mod1/ai1,cDAQ1Mod1/ai2,cDAQ1Mod1/ai3,Load,,,
20,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000020_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000020_1.tif,40.102822,40.103065,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
21,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000021_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000021_1.tif,40.602775,40.603065,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
22,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000022_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000022_1.tif,41.102791,41.103071,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
23,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000023_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000023_1.tif,41.602888,41.603302,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
24,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000024_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000024_1.tif,42.102948,42.103088,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
25,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000025_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000025_1.tif,42.602780,42.603021,-0.002146,-10.383721,-10.430638,-10.389762,0.007493,0.000000,0.000000,0.000000
26,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000026_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000026_1.tif,43.102779,43.103103,0.000086,-10.383721,-10.430638,-10.389762,0.014050,0.000000,0.000000,0.000000
27,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000027_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000027_1.tif,43.602799,43.603113,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
28,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000028_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000028_1.tif,44.102784,44.103086,0.000086,-10.383721,-10.430638,-10.389762,0.014050,0.000000,0.000000,0.000000
29,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000029_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000029_1.tif,44.602812,44.603128,-0.000233,-10.383721,-10.430638,-10.389762,0.013113,0.000000,0.000000,0.000000
30,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000030_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000030_1.tif,45.102800,45.103168,-0.000551,-10.383721,-10.430638,-10.389762,0.012176,0.000000,0.000000,0.000000
31,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000031_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000031_1.tif,45.602802,45.603152,0.001043,-10.383721,-10.430638,-10.389762,0.016860,0.000000,0.000000,0.000000
32,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000032_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000032_1.tif,46.102804,46.103120,-0.001189,-10.383721,-10.430638,-10.389762,0.010303,0.000000,0.000000,0.000000
33,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000033_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000033_1.tif,46.602850,46.603122,-0.000870,-10.383721,-10.430638,-10.389762,0.011240,0.000000,0.000000,0.000000
34,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000034_0.tif,C:/Users/VicUser/Documents/RobC/20260801/VF1_2_2\VF1_2_2-00000034_1.tif,47.102915,47.103301,-0.001508,-10.383721,-10.430638,-10.389762,0.009366,0.000000,0.000000,0.000000
